Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Alejandro Kirk,25,C,2.0,103,386,340,23,86,19,1,5,54,0,0,35,51,.253,.319,.359,.677,92,.303,94,122,11,2,0,9,1,2/HD,,kirkal01
2,Vladimir Guerrero Jr.,25,1B,6.2,159,697,616,98,199,44,1,30,103,2,2,72,96,.323,.396,.544,.940,164,.399,165,335,16,5,0,4,12,*3D5/H,ASMVP-6SS,guerrvl02
3,Spencer Horwitz*,26,2B,1.2,97,381,328,46,87,19,0,12,40,0,0,42,70,.265,.357,.433,.790,123,.346,125,142,8,7,0,4,2,34DH,,horwisp01
4,Bo Bichette,26,SS,-0.3,81,336,311,29,70,16,1,4,31,5,1,20,64,.225,.277,.322,.598,70,.269,68,100,12,3,0,2,1,6,,bichebo01
5,Ernie Clement,28,3B,3.4,139,452,434,48,114,21,3,12,51,12,3,11,41,.263,.284,.408,.692,94,.317,102,177,11,3,2,2,1,56H/4D17,,clemeer01
6,Davis Schneider,25,LF,0.0,135,454,397,48,76,19,1,13,46,6,0,47,144,.191,.282,.343,.625,77,.280,76,136,2,5,0,5,0,74H/D,,schneda03
7,Daulton Varsho*,27,CF,5.0,136,513,459,73,98,21,7,18,58,10,2,48,137,.214,.293,.407,.700,96,.306,94,187,2,4,1,1,1,*87/H9D,GG,varshda01
8,George Springer,34,RF,1.1,145,614,545,74,120,19,3,19,56,16,1,60,115,.220,.303,.371,.674,91,.312,97,202,16,6,0,2,0,*9D/H8,,springe01
9,Justin Turner,39,DH,0.4,91,349,301,37,77,17,0,6,31,0,2,39,60,.256,.350,.372,.722,106,.321,109,112,15,6,0,3,0,D3/H5,,turneju01
10,Isiah Kiner-Falefa,29,IF,3.2,83,281,257,32,75,8,2,7,33,3,1,13,37,.292,.338,.420,.758,114,.338,119,108,9,6,3,2,0,456/H18,,kineris01
11,Danny Jansen,29,C,0.6,62,228,198,27,42,13,0,6,18,0,0,25,42,.212,.303,.369,.671,90,.300,92,73,1,2,0,3,0,2/HD,,janseda01
12,Addison Barger*,24,UT,0.4,69,225,208,20,41,11,0,7,28,2,0,14,60,.197,.250,.351,.601,68,.272,70,73,1,1,0,1,0,59H7/D,,bargead01
13,Kevin Kiermaier*,34,CF,0.9,82,217,200,24,39,7,2,4,18,5,0,10,66,.195,.236,.310,.546,54,.250,51,62,3,1,5,1,0,8/H9D,,kiermke01
14,Leo Jiménez,23,MI,0.9,63,210,179,18,41,11,0,4,19,0,0,12,59,.229,.329,.358,.686,95,.310,99,64,6,16,0,3,0,64/HD,,jimenle01
15,Joey Loperfido*,25,LF,0.2,43,144,137,13,27,8,3,2,9,2,1,6,52,.197,.236,.343,.579,62,.263,65,47,2,1,0,0,0,78/H3D,,loperjo01
16,Cavan Biggio*,29,2B,0.5,44,131,110,15,22,4,0,2,9,2,0,14,42,.200,.323,.291,.614,77,.290,82,32,1,6,0,0,0,49/H35D,,biggica01
17,Nathan Lukes*,29,OF,1.2,22,91,76,13,23,4,2,1,10,1,0,10,9,.303,.371,.447,.818,131,.355,130,34,1,0,2,3,0,7/98HD,,lukesna01
18,Will Wagner*,25,2B,0.7,24,86,82,8,25,6,0,2,11,0,0,4,16,.305,.337,.451,.788,122,.354,130,37,3,0,0,0,0,4/H3D,,wagnewi01
19,Daniel Vogelbach*,31,DH,-0.4,31,79,70,5,13,5,0,1,8,0,0,9,17,.186,.278,.300,.578,65,.262,65,21,4,0,0,0,0,DH,,vogelda01
20,Brian Serven,29,C,0.2,28,71,63,6,10,4,0,0,3,0,0,5,22,.159,.243,.222,.465,34,.229,40,14,0,2,1,0,0,2/H,,servebr01
21,Steward Berroa#,25,OF,0.3,28,45,37,7,7,1,0,0,1,6,2,8,14,.189,.333,.216,.550,61,.298,83,8,0,0,0,0,0,9H/78D,,berrost01
22,Luis De Los Santos,26,UT,-0.1,13,31,29,2,5,2,0,0,1,0,0,2,10,.172,.226,.241,.467,33,.208,26,7,2,0,0,0,0,5/H37,,deloslu03
23,Jonatan Clase#,22,CF,0.2,7,23,20,3,7,1,0,1,2,0,1,1,3,.350,.435,.550,.985,178,.443,210,11,0,2,0,0,0,/8H,,clasejo01
24,Tyler Heineman#,33,C,0.1,5,13,10,2,1,0,0,0,0,0,0,3,5,.100,.308,.100,.408,24,.220,34,1,0,0,0,0,0,/21,,heinety01
25,Orelvis Martínez,22,2B,0.0,1,3,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,91,.298,91,1,0,0,0,0,0,/4,,martior01
26,Chad Green*,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,greench03
27,Génesis Cabrera*,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,cabrege01
,Team Totals,,,27.7,162,6060,5410,671,1306,280,26,156,640,72,16,510,1233,.241,.313,.389,.703,98,.314,101,2106,126,78,14,45,18,,,-9999
